,vs_Hand,type,Equity_%,Draws_%,Loses_%
217,8_9,1o,64.47,0.89,34.65
218,3_5,1o,64.47,0.95,34.58
219,3_5,1o,64.47,0.97,34.56
220,2_9,2s,64.46,0.88,34.65
221,8_9,1o,64.46,0.89,34.65
222,9_J,2osame,64.38,1.0,34.62
223,8_J,2odifferent,64.35,0.84,34.81
224,2_Q,1s,64.34,10.58,25.07
225,4_6,1o,64.26,0.91,34.84
226,4_6,1o,64.26,0.9,34.85
227,5_9,1s,64.24,0.96,34.8
228,8_J,1o,64.15,0.92,34.93
229,3_9,2s,64.1,0.87,35.03
230,6_8,2odifferent,64.09,0.78,35.13
231,4_9,2s,64.05,0.87,35.07
232,5_7,2odifferent,64.04,0.83,35.13
233,3_4,2odifferent,64.01,0.9,35.09
234,7_8,1o,63.99,0.87,35.14
235,7_8,1o,63.99,0.87,35.14
236,8_9,2odifferent,63.96,0.81,35.23
237,3_5,2odifferent,63.96,0.89,35.14
238,6_7,2osame,63.95,0.93,35.12
239,6_7,2osame,63.95,0.93,35.12
240,3_Q,1s,63.93,10.49,25.58
241,2_6,1s,63.9,0.96,35.15
242,9_J,1o,63.9,0.92,35.17
243,4_8,1s,63.86,0.95,35.19
244,3_7,1s,63.81,0.96,35.23
245,4_6,2odifferent,63.75,0.83,35.41
246,2_8,2s,63.73,0.87,35.39
247,7_Q,1s,63.73,10.17,26.1
248,5_6,2osame,63.71,0.97,35.32
249,5_6,2osame,63.71,0.98,35.32
250,9_J,2osame,63.69,1.0,35.31
251,3_8,2s,63.68,0.87,35.44
252,8_Q,1s,63.66,10.12,26.23
253,2_7,2s,63.61,0.88,35.51
254,2_J,1s,63.56,1.0,35.44
255,4_5,2osame,63.55,1.01,35.44
256,4_5,2osame,63.55,1.01,35.44
257,4_Q,1s,63.52,10.4,26.08
258,7_8,2odifferent,63.49,0.79,35.72
259,5_Q,1s,63.47,10.33,26.2
260,6_7,1o,63.46,0.85,35.69
261,6_7,1o,63.46,0.86,35.68
262,6_Q,1s,63.43,10.21,26.36
263,9_Q,1s,63.43,10.28,26.28
264,9_J,2odifferent,63.42,0.84,35.73
265,5_6,1o,63.22,0.9,35.87
266,5_6,1o,63.22,0.9,35.88
267,2_Q,2s,63.22,10.35,26.43
268,9_J,1o,63.21,0.92,35.86
269,2_3,1s,63.19,1.0,35.8
270,3_J,1s,63.19,0.99,35.82
271,6_9,1s,63.16,0.91,35.93
272,4_5,1o,63.07,0.95,35.99
273,4_5,1o,63.07,0.94,35.99
274,6_J,1s,63.01,0.93,36.06
275,6_7,2odifferent,62.97,0.78,36.25
276,4_J,1s,62.82,0.98,36.2
277,3_Q,2s,62.82,10.25,26.92
278,2_4,1s,62.82,0.99,36.19
279,5_J,1s,62.79,0.98,36.24
280,5_9,2s,62.79,0.87,36.34
281,2_5,1s,62.77,0.99,36.23
282,5_6,2odifferent,62.74,0.83,36.44
283,2_J,2s,62.65,0.92,36.43
284,7_Q,2s,62.65,9.94,27.42
285,8_Q,2s,62.64,9.9,27.46
286,5_8,1s,62.61,0.95,36.44
287,4_5,2odifferent,62.59,0.87,36.54
288,3_6,1s,62.56,0.95,36.49
289,4_7,1s,62.49,0.95,36.57
290,9_Q,2s,62.49,10.08,27.43
291,4_Q,2s,62.42,10.17,27.42
292,2_6,2s,62.41,0.87,36.71
293,4_8,2s,62.41,0.86,36.73
294,5_Q,2s,62.37,10.1,27.54
295,6_Q,2s,62.34,9.98,27.67
296,3_7,2s,62.33,0.87,36.8
297,3_J,2s,62.29,0.91,36.81
298,7_9,1s,62.29,0.92,36.79
299,6_J,2s,62.11,0.85,37.04
300,7_J,1s,62.09,0.95,36.96
301,4_J,2s,61.93,0.9,37.18
302,5_J,2s,61.89,0.89,37.21
303,6_9,2s,61.79,0.82,37.39
304,2_3,2s,61.73,0.94,37.33
305,6_8,1s,61.53,0.9,37.57
306,5_7,1s,61.52,0.94,37.54
307,3_4,1s,61.49,0.98,37.53
308,3_5,1s,61.44,0.98,37.58
309,2_4,2s,61.37,0.92,37.71
310,8_9,1s,61.35,0.92,37.73
311,2_5,2s,61.32,0.91,37.77
312,7_J,2s,61.27,0.86,37.86
313,4_6,1s,61.24,0.94,37.83
314,5_8,2s,61.19,0.86,37.95
315,8_J,1s,61.15,0.95,37.9
316,3_6,2s,61.13,0.86,38.01
317,4_7,2s,61.05,0.86,38.09
318,7_9,2s,60.99,0.83,38.18
319,7_8,1s,60.91,0.91,38.18
320,6_7,1s,60.44,0.89,38.67
321,8_J,2s,60.4,0.87,38.73
322,5_6,1s,60.27,0.94,38.79
323,9_J,1s,60.23,0.95,38.82
324,6_8,2s,60.19,0.81,38.99
325,4_5,1s,60.12,0.97,38.91
326,5_7,2s,60.11,0.86,39.03
327,8_9,2s,60.11,0.84,39.05
328,3_4,2s,60.09,0.91,39.01
329,3_5,2s,60.04,0.9,39.06
330,4_6,2s,59.85,0.85,39.29
331,7_8,2s,59.63,0.82,39.54
332,9_J,2s,59.54,0.87,39.59
333,6_7,2s,59.11,0.81,40.08
334,5_6,2s,58.91,0.85,40.24
335,4_5,2s,58.76,0.89,40.35
336,2_K,1o,53.11,2.18,44.7
337,3_K,1o,52.94,2.17,44.89
338,2_K,2osame,52.78,2.27,44.94
339,2_K,2osame,52.78,2.27,44.95
340,2_K,2odifferent,52.77,2.14,45.1
341,5_K,1o,52.76,2.15,45.08
342,4_K,1o,52.76,2.15,45.08
343,7_K,1o,52.68,2.11,45.21
344,3_K,2osame,52.6,2.26,45.14
345,3_K,2osame,52.6,2.26,45.14
346,3_K,2odifferent,52.59,2.1,45.3
347,6_K,1o,52.5,2.1,45.4
348,2_K,1o,52.43,2.23,45.34
349,5_K,2odifferent,52.42,2.07,45.51
350,4_K,2osame,52.42,2.24,45.34
351,4_K,2odifferent,52.42,2.08,45.5
352,5_K,2osame,52.42,2.24,45.34
353,5_K,2osame,52.42,2.24,45.33
354,4_K,2osame,52.42,2.24,45.33
355,8_K,1o,52.37,2.39,45.24
356,7_K,2odifferent,52.34,2.02,45.64
357,7_K,2osame,52.34,2.2,45.46
358,7_K,2osame,52.33,2.2,45.46
359,3_K,1o,52.26,2.19,45.55
360,6_K,2odifferent,52.17,2.01,45.82
361,6_K,2osame,52.16,2.19,45.66
362,6_K,2osame,52.16,2.19,45.65
363,4_K,1o,52.09,2.17,45.75
364,5_K,1o,52.09,2.16,45.75
365,8_K,2odifferent,52.03,2.3,45.67
366,8_K,2osame,52.02,2.48,45.5
367,8_K,2osame,52.02,2.48,45.5
368,7_K,1o,52.0,2.11,45.89
369,6_K,1o,51.83,2.1,46.07
370,8_K,1o,51.69,2.39,45.92
371,7_A,1o,50.86,2.24,46.9
372,6_A,1o,50.85,2.24,46.9
373,6_A,2odifferent,50.54,2.15,47.31
374,2_A,1o,50.54,2.32,47.14
375,7_A,2odifferent,50.54,2.15,47.32
376,6_A,2osame,50.5,2.33,47.17
377,7_A,2osame,50.5,2.33,47.17
378,7_A,2osame,50.5,2.33,47.17
379,6_A,2osame,50.5,2.33,47.17
380,2_2,2osame,50.42,1.19,48.39
381,3_A,1o,50.37,2.3,47.33
382,2_A,2odifferent,50.22,2.27,47.51
383,2_A,2osame,50.19,2.41,47.4
384,4_A,1o,50.19,2.29,47.52
385,5_A,1o,50.19,2.28,47.52
386,6_A,1o,50.18,2.24,47.57
387,7_A,1o,50.18,2.24,47.58
388,2_A,2osame,50.18,2.41,47.41
389,2_K,1s,50.18,2.13,47.69
390,3_A,2odifferent,50.05,2.23,47.71
391,3_K,1s,50.02,2.12,47.86
392,3_A,2osame,50.01,2.39,47.6
393,2_2,1o,50.0,1.15,48.84
394,3_A,2osame,50.0,2.39,47.6
395,4_A,2odifferent,49.88,2.21,47.91
396,5_A,2odifferent,49.88,2.2,47.92
397,2_A,1o,49.87,2.36,47.77
398,5_K,1s,49.86,2.11,48.04
399,4_K,1s,49.86,2.11,48.04
400,3_3,2osame,49.86,1.02,49.13
401,5_A,2osame,49.83,2.38,47.79
402,4_A,2osame,49.83,2.38,47.8
403,5_A,2osame,49.83,2.38,47.8
404,4_A,2osame,49.83,2.38,47.79
405,7_K,1s,49.77,2.06,48.16
406,3_A,1o,49.69,2.33,47.98
407,6_K,1s,49.61,2.05,48.33
408,2_2,2odifferent,49.58,1.12,49.3
409,8_K,1s,49.52,2.32,48.16
410,4_A,1o,49.52,2.3,48.18
411,5_A,1o,49.52,2.29,48.19
412,3_3,1o,49.44,0.96,49.6
413,2_K,2s,49.43,2.03,48.53
414,4_4,2osame,49.34,0.86,49.8
415,3_K,2s,49.27,2.02,48.7
416,4_K,2s,49.12,2.01,48.87
417,5_K,2s,49.12,2.01,48.87
418,7_K,2s,49.05,1.97,48.98
419,3_3,2odifferent,49.02,0.91,50.07
420,5_5,2osame,48.97,0.74,50.29
421,4_4,1o,48.93,0.79,50.28
422,6_K,2s,48.89,1.96,49.14
423,8_K,2s,48.82,2.23,48.95
424,5_5,1o,48.56,0.67,50.78
425,4_4,2odifferent,48.52,0.72,50.76
426,6_6,2osame,48.17,0.6,51.24
427,5_5,2odifferent,48.14,0.6,51.26
428,7_A,1s,48.03,2.18,49.79
429,6_A,1s,48.03,2.18,49.78
430,7_7,2osame,47.99,0.54,51.47
431,6_6,1o,47.76,0.52,51.72
432,2_A,1s,47.73,2.25,50.02
433,7_7,1o,47.58,0.46,51.96
434,3_A,1s,47.57,2.24,50.19
435,5_A,1s,47.41,2.22,50.37
436,4_A,1s,47.41,2.22,50.37
437,6_6,2odifferent,47.36,0.44,52.2
438,7_A,2s,47.32,2.08,50.6
439,6_A,2s,47.32,2.08,50.59
440,7_7,2odifferent,47.17,0.39,52.45
441,2_A,2s,47.02,2.15,50.83
442,3_A,2s,46.86,2.14,51.0
443,4_A,2s,46.71,2.13,51.17
444,5_A,2s,46.71,2.12,51.17
445,8_8,2osame,46.62,0.49,52.89
446,8_8,1o,46.22,0.41,53.37
447,8_8,2odifferent,45.82,0.33,53.85
448,9_9,2osame,45.58,0.47,53.96
449,9_9,1o,45.18,0.39,54.43
450,9_9,2odifferent,44.78,0.31,54.91
451,8_A,1o,43.52,9.08,47.41
452,8_A,2odifferent,43.25,8.93,47.82
453,9_A,1o,43.17,0.42,56.41
454,8_A,2osame,43.1,9.22,47.68
455,8_A,2osame,43.1,9.22,47.68
456,9_A,2odifferent,42.91,0.34,56.75
457,8_A,1o,42.84,9.08,48.08
458,9_A,2osame,42.75,0.5,56.75
459,9_A,2osame,42.75,0.5,56.75
460,9_A,1o,42.49,0.42,57.09
461,9_K,1o,42.24,11.25,46.51
462,9_K,2odifferent,41.99,11.09,46.92
463,9_K,2osame,41.8,11.41,46.79
464,9_K,2osame,41.8,11.4,46.79
465,9_K,1o,41.56,11.25,47.2
466,8_A,1s,41.22,8.53,50.25
467,9_A,1s,40.95,0.48,58.56
468,8_A,2s,40.6,8.38,51.01
469,9_A,2s,40.33,0.4,59.26
470,9_K,1s,40.06,10.54,49.4
471,9_K,2s,39.49,10.38,50.12
472,J_A,2odifferent,38.47,0.36,61.17
473,J_A,2osame,38.14,0.52,61.34
474,J_A,1o,37.97,0.44,61.6
475,J_A,1o,37.95,0.44,61.61
476,J_A,2osame,37.45,0.52,62.04
477,J_K,2odifferent,37.34,0.6,62.06
478,J_K,2osame,36.97,0.76,62.27
479,J_K,1o,36.81,0.68,62.5
480,J_K,1o,36.8,0.68,62.51
481,J_A,1s,36.48,0.5,63.03
482,J_K,2osame,36.28,0.76,62.96
483,J_A,2s,36.08,0.42,63.5
484,K_A,2odifferent,35.86,0.38,63.76
485,J_K,1s,35.36,0.73,63.91
486,K_A,1o,35.3,0.45,64.25
487,K_A,1o,35.29,0.45,64.25
488,J_K,2s,35.03,0.65,64.32
489,K_A,2osame,34.72,0.53,64.75
490,K_A,2osame,34.72,0.53,64.75
491,K_A,1s,33.83,0.51,65.66
492,K_A,2s,33.47,0.43,66.1
493,T_T,2odifferent,32.45,1.93,65.62
494,J_J,2odifferent,29.17,0.31,70.52
495,J_J,2osame,28.78,0.47,70.75
496,J_J,1o,28.61,0.39,71.0
497,Q_A,2odifferent,27.16,1.38,71.47
498,T_A,2odifferent,26.87,1.79,71.33
499,Q_A,1o,26.49,1.47,72.04
500,Q_A,1o,26.42,1.47,72.1
501,T_A,1o,26.2,1.89,71.91
502,T_A,2osame,26.19,1.99,71.82
503,Q_A,1s,25.79,1.52,72.69
504,Q_A,2osame,25.75,1.56,72.69
505,Q_K,2odifferent,25.59,2.39,72.01
506,Q_A,2s,25.48,1.39,73.13
507,T_K,2odifferent,25.3,2.81,71.89
508,T_A,2s,25.22,1.78,73.0
509,Q_K,1o,24.9,2.49,72.6
510,Q_K,1o,24.84,2.5,72.66
511,T_K,1o,24.6,2.92,72.48
