,vs_Hand,type,Equity_%,Draws_%,Loses_%
212,5_6,ssame,63.96,1.02,35.02
213,2_3,sdifferent,63.93,0.98,35.09
214,6_9,sdifferent,63.88,0.86,35.26
215,8_T,sdifferent,63.86,0.9,35.24
216,4_5,ssame,63.71,1.05,35.23
217,2_4,sdifferent,63.6,0.96,35.44
218,3_6,sdifferent,63.47,0.9,35.63
219,4_7,sdifferent,63.4,0.9,35.7
220,2_5,sdifferent,63.27,0.94,35.79
221,5_8,sdifferent,63.19,0.89,35.92
222,9_T,sdifferent,63.18,0.9,35.92
223,7_9,sdifferent,63.09,0.87,36.04
224,6_8,sdifferent,62.65,0.86,36.49
225,6_7,sdifferent,62.51,0.85,36.64
226,3_4,sdifferent,62.39,0.95,36.66
227,4_6,sdifferent,62.27,0.89,36.84
228,5_7,sdifferent,62.2,0.89,36.91
229,8_9,sdifferent,62.19,0.88,36.93
230,7_8,sdifferent,62.1,0.86,37.04
231,3_5,sdifferent,62.06,0.93,37.01
232,5_6,sdifferent,61.07,0.88,38.05
233,4_5,sdifferent,60.86,0.92,38.22
234,2_K,2o,56.87,1.71,41.43
235,3_K,2o,56.7,1.67,41.62
236,7_K,2o,56.7,1.59,41.7
237,6_K,2o,56.54,1.58,41.87
238,4_K,2o,56.54,1.65,41.81
239,8_K,2o,56.52,1.65,41.83
240,5_K,2o,56.38,1.63,41.99
241,2_K,1o,56.27,1.75,41.98
242,7_K,1o,56.1,1.69,42.21
243,3_K,1o,56.1,1.74,42.16
244,8_K,1o,55.97,1.75,42.28
245,4_K,1o,55.93,1.73,42.34
246,6_K,1o,55.93,1.68,42.39
247,5_K,1o,55.76,1.72,42.52
248,2_K,1o,55.75,1.79,42.46
249,7_K,1o,55.59,1.68,42.73
250,3_K,1o,55.59,1.76,42.65
251,4_K,1o,55.42,1.74,42.84
252,6_K,1o,55.42,1.67,42.91
253,8_K,1o,55.4,1.74,42.86
254,6_A,2o,55.38,1.55,43.08
255,7_A,2o,55.38,1.55,43.08
256,9_K,2o,55.29,1.66,43.05
257,5_K,1o,55.26,1.71,43.03
258,2_A,2o,54.83,1.66,43.51
259,8_A,2o,54.79,1.71,43.49
260,9_K,1o,54.77,1.75,43.48
261,7_A,1o,54.76,1.64,43.6
262,6_A,1o,54.75,1.64,43.6
263,3_A,2o,54.67,1.63,43.7
264,4_A,2o,54.51,1.6,43.89
265,5_A,2o,54.34,1.58,44.07
266,8_A,1o,54.22,1.81,43.97
267,2_A,1o,54.2,1.71,44.09
268,6_A,1o,54.19,1.64,44.18
269,7_A,1o,54.19,1.64,44.18
