,vs_Hand,type,Equity_%,Draws_%,Loses_%
260,2_A,1o,52.74,2.25,45.02
261,3_A,1o,52.57,2.24,45.19
262,6_A,1o,52.46,2.18,45.36
263,2_2,2o,52.46,1.14,46.4
264,7_A,1o,52.46,2.18,45.36
265,2_K,sdifferent,52.41,1.97,45.61
266,4_A,1o,52.4,2.22,45.37
267,5_A,1o,52.4,2.22,45.37
268,3_K,sdifferent,52.27,1.96,45.77
269,2_A,1o,52.17,2.29,45.54
270,5_K,sdifferent,52.12,1.95,45.93
271,2_2,1o,52.12,1.18,46.7
272,4_K,sdifferent,52.12,1.95,45.93
273,7_K,sdifferent,52.05,1.92,46.04
274,3_A,1o,52.0,2.26,45.74
275,3_3,2o,51.93,0.94,47.13
276,6_K,sdifferent,51.9,1.91,46.19
277,4_A,1o,51.84,2.23,45.93
278,5_A,1o,51.84,2.22,45.94
279,8_K,sdifferent,51.82,2.15,46.03
280,3_3,1o,51.59,1.0,47.41
281,4_4,2o,51.45,0.76,47.79
282,4_4,1o,51.11,0.84,48.05
283,5_5,2o,51.1,0.64,48.26
284,2_K,ssame,50.81,2.22,46.97
285,5_5,1o,50.76,0.73,48.52
286,3_K,ssame,50.64,2.21,47.15
287,5_K,ssame,50.47,2.2,47.33
288,4_K,ssame,50.47,2.2,47.33
289,6_A,sdifferent,50.45,2.02,47.54
290,7_A,sdifferent,50.45,2.02,47.54
291,7_K,ssame,50.39,2.15,47.46
292,6_6,2o,50.35,0.5,49.15
293,6_K,ssame,50.22,2.14,47.63
294,7_7,2o,50.18,0.44,49.38
295,2_A,sdifferent,50.17,2.08,47.76
296,8_K,ssame,50.08,2.41,47.51
297,6_6,1o,50.02,0.58,49.4
298,3_A,sdifferent,50.02,2.07,47.92
299,5_A,sdifferent,49.87,2.05,48.08
300,4_A,sdifferent,49.87,2.05,48.08
301,7_7,1o,49.85,0.53,49.62
302,8_8,2o,48.91,0.39,50.7
303,6_A,ssame,48.68,2.28,49.05
304,7_A,ssame,48.68,2.27,49.05
305,8_8,1o,48.61,0.48,50.92
306,2_A,ssame,48.36,2.34,49.29
307,3_A,ssame,48.2,2.33,49.47
308,5_A,ssame,48.03,2.32,49.65
309,4_A,ssame,48.03,2.32,49.65
310,9_9,2o,47.95,0.37,51.69
311,9_9,1o,47.67,0.45,51.88
312,8_A,2o,46.87,8.38,44.75
313,9_A,2o,46.54,0.4,53.06
314,8_A,1o,46.25,8.53,45.22
315,9_A,1o,45.99,0.48,53.53
316,9_K,2o,45.65,10.38,43.97
317,8_A,1o,45.61,8.53,45.87
318,9_A,1o,45.28,0.48,54.24
319,9_K,1o,45.06,10.54,44.39
320,9_K,1o,44.4,10.54,45.06
321,8_A,sdifferent,44.22,7.83,47.95
322,9_A,sdifferent,43.97,0.46,55.57
323,9_K,sdifferent,43.15,9.68,47.17
324,J_A,2o,42.25,0.42,57.34
325,8_A,ssame,41.75,8.68,49.57
326,J_A,1o,41.55,0.5,57.95
327,9_A,ssame,41.43,0.56,58.01
328,J_K,2o,41.14,0.65,58.21
329,J_A,1o,40.85,0.5,58.65
330,9_K,ssame,40.51,10.7,48.79
331,J_K,1o,40.41,0.73,58.86
332,J_A,sdifferent,39.86,0.47,59.67
333,J_K,1o,39.76,0.73,59.51
