,vs_Hand,type,Equity_%,Draws_%,Loses_%
284,T_J,1o,64.38,0.5,35.12
285,9_T,1o,64.35,0.49,35.16
286,7_8,2o,64.29,0.37,35.34
287,4_6,ssame,64.28,0.61,35.11
288,6_8,ssame,64.21,0.55,35.24
289,5_7,ssame,64.2,0.59,35.22
290,8_Q,sdifferent,64.18,0.47,35.34
291,4_5,2o,64.15,0.49,35.36
292,T_J,ssame,63.96,0.58,35.45
293,9_T,ssame,63.95,0.57,35.48
294,5_6,2o,63.94,0.43,35.63
295,6_7,2o,63.93,0.37,35.69
296,7_J,sdifferent,63.89,0.46,35.65
297,7_8,1o,63.78,0.46,35.77
298,7_8,1o,63.78,0.46,35.76
299,2_6,sdifferent,63.76,0.52,35.72
300,3_7,sdifferent,63.67,0.5,35.83
301,4_5,1o,63.64,0.57,35.79
302,4_5,1o,63.64,0.56,35.8
303,4_8,sdifferent,63.61,0.5,35.89
304,5_9,sdifferent,63.56,0.49,35.95
305,6_T,sdifferent,63.54,0.46,36.0
306,2_3,sdifferent,63.43,0.6,35.97
307,5_6,1o,63.42,0.51,36.07
308,5_6,1o,63.42,0.52,36.06
309,6_7,1o,63.41,0.46,36.13
310,6_7,1o,63.41,0.46,36.13
311,9_Q,sdifferent,63.37,0.48,36.15
312,7_8,ssame,63.25,0.54,36.21
313,4_5,ssame,63.16,0.64,36.2
314,2_4,sdifferent,63.1,0.57,36.33
315,8_J,sdifferent,63.02,0.47,36.51
316,5_6,ssame,62.88,0.6,36.52
317,6_7,ssame,62.87,0.54,36.58
318,2_5,sdifferent,62.77,0.56,36.68
319,7_T,sdifferent,62.73,0.45,36.82
320,3_6,sdifferent,62.55,0.51,36.94
321,J_Q,sdifferent,62.47,0.5,37.03
322,4_7,sdifferent,62.47,0.49,37.04
323,6_9,sdifferent,62.43,0.45,37.12
324,5_8,sdifferent,62.41,0.49,37.1
325,9_J,sdifferent,62.21,0.48,37.32
326,T_Q,sdifferent,62.18,0.49,37.33
327,8_9,sdifferent,61.89,0.45,37.66
328,3_4,sdifferent,61.89,0.56,37.55
329,8_T,sdifferent,61.86,0.46,37.68
330,7_9,sdifferent,61.62,0.45,37.94
331,3_5,sdifferent,61.56,0.55,37.9
332,4_6,sdifferent,61.35,0.5,38.15
333,6_8,sdifferent,61.28,0.45,38.27
334,5_7,sdifferent,61.28,0.48,38.25
335,9_T,sdifferent,61.05,0.47,38.49
336,T_J,sdifferent,61.02,0.48,38.5
337,7_8,sdifferent,60.47,0.44,39.09
338,4_5,sdifferent,60.36,0.54,39.11
339,5_6,sdifferent,60.15,0.49,39.36
340,6_7,sdifferent,60.14,0.44,39.42
341,2_2,2o,49.77,0.63,49.6
342,2_2,1o,49.37,0.67,49.96
343,3_3,2o,49.12,0.55,50.33
344,3_3,1o,48.71,0.61,50.68
345,4_4,2o,48.53,0.49,50.98
346,4_4,1o,48.12,0.56,51.32
347,5_5,2o,48.0,0.43,51.56
348,7_7,2o,47.71,0.34,51.95
349,6_6,2o,47.7,0.37,51.93
350,5_5,1o,47.59,0.52,51.89
351,8_8,2o,47.54,0.35,52.11
352,9_9,2o,47.43,0.37,52.21
353,7_7,1o,47.28,0.43,52.28
354,6_6,1o,47.27,0.46,52.27
355,8_8,1o,47.12,0.44,52.44
356,9_9,1o,47.01,0.45,52.54
357,Q_Q,2o,46.02,0.39,53.59
358,J_J,2o,45.94,0.38,53.68
359,T_T,2o,45.92,0.36,53.71
360,Q_Q,1o,45.65,0.47,53.88
361,J_J,1o,45.56,0.46,53.98
362,T_T,1o,45.54,0.45,54.01
363,K_K,2o,33.69,0.82,65.48
364,A_A,2o,11.51,1.26,87.23
365,K_A,sdifferent,7.16,85.69,7.16
366,K_A,2o,7.16,90.67,2.17
