,vs_Hand,type,Equity_%,Draws_%,Loses_%
226,2_8,sdifferent,65.19,0.71,34.1
227,3_5,1o,65.18,0.79,34.03
228,3_8,sdifferent,65.15,0.71,34.15
229,8_9,1o,65.15,0.7,34.15
230,3_4,ssame,65.13,0.86,34.01
231,4_6,1o,65.1,0.72,34.19
232,4_6,1o,65.09,0.73,34.18
233,9_T,ssame,65.07,0.79,34.14
234,5_7,1o,65.03,0.72,34.26
235,5_7,1o,65.03,0.72,34.25
236,3_9,sdifferent,64.98,0.7,34.32
237,4_9,sdifferent,64.94,0.7,34.37
238,6_8,ssame,64.92,0.76,34.32
239,7_J,sdifferent,64.85,0.67,34.48
240,8_9,ssame,64.77,0.78,34.45
241,3_5,ssame,64.75,0.85,34.4
242,4_6,ssame,64.66,0.8,34.53
243,5_7,ssame,64.59,0.8,34.61
244,6_7,2o,64.58,0.58,34.84
245,6_T,sdifferent,64.57,0.65,34.78
246,4_5,2o,64.34,0.68,34.97
247,5_6,2o,64.27,0.63,35.11
248,6_7,1o,64.09,0.67,35.25
249,6_7,1o,64.09,0.67,35.24
250,2_6,sdifferent,64.08,0.7,35.22
251,8_J,sdifferent,64.04,0.68,35.28
252,3_7,sdifferent,64.01,0.7,35.29
253,4_8,sdifferent,63.94,0.7,35.36
254,4_5,1o,63.85,0.76,35.39
255,4_5,1o,63.85,0.77,35.38
256,5_6,1o,63.77,0.71,35.52
257,5_6,1o,63.77,0.72,35.51
258,5_9,sdifferent,63.74,0.69,35.57
259,7_T,sdifferent,63.69,0.66,35.65
260,2_3,sdifferent,63.63,0.78,35.59
261,6_7,ssame,63.59,0.75,35.67
262,4_5,ssame,63.35,0.84,35.81
263,2_4,sdifferent,63.29,0.76,35.95
264,5_6,ssame,63.27,0.79,35.94
265,9_J,sdifferent,63.14,0.68,36.17
266,2_5,sdifferent,62.96,0.74,36.3
267,6_9,sdifferent,62.89,0.64,36.47
268,3_6,sdifferent,62.87,0.69,36.43
269,8_T,sdifferent,62.87,0.67,36.45
270,4_7,sdifferent,62.81,0.69,36.51
271,5_8,sdifferent,62.75,0.69,36.57
272,7_9,sdifferent,62.31,0.65,37.04
273,T_J,sdifferent,62.19,0.69,37.12
274,7_8,sdifferent,62.16,0.65,37.19
275,3_4,sdifferent,62.09,0.75,37.17
276,9_T,sdifferent,61.98,0.68,37.34
277,6_8,sdifferent,61.89,0.64,37.47
278,3_5,sdifferent,61.76,0.73,37.52
279,8_9,sdifferent,61.76,0.66,37.58
280,4_6,sdifferent,61.67,0.68,37.64
281,5_7,sdifferent,61.61,0.68,37.71
282,6_7,sdifferent,60.76,0.63,38.61
283,4_5,sdifferent,60.55,0.72,38.73
284,5_6,sdifferent,60.48,0.67,38.85
285,8_A,2o,56.21,0.6,43.19
286,9_A,2o,56.06,0.62,43.31
287,6_A,2o,56.05,0.59,43.36
288,7_A,2o,56.05,0.59,43.36
289,2_A,2o,55.66,0.72,43.62
290,8_A,1o,55.56,0.69,43.75
291,3_A,2o,55.5,0.69,43.81
292,9_A,1o,55.48,0.71,43.81
293,6_A,1o,55.4,0.68,43.92
294,7_A,1o,55.4,0.68,43.92
295,4_A,2o,55.34,0.66,44.0
296,5_A,2o,55.18,0.64,44.18
297,2_A,1o,55.01,0.76,44.23
298,8_A,1o,54.98,0.68,44.34
299,3_A,1o,54.85,0.75,44.41
300,9_A,1o,54.83,0.7,44.46
301,7_A,1o,54.81,0.67,44.51
302,6_A,1o,54.81,0.67,44.51
303,4_A,1o,54.68,0.74,44.59
304,5_A,1o,54.51,0.72,44.76
305,T_A,2o,54.47,0.63,44.9
306,2_A,1o,54.43,0.8,44.77
307,3_A,1o,54.26,0.77,44.97
308,4_A,1o,54.1,0.74,45.16
309,5_A,1o,53.93,0.72,45.35
310,T_A,1o,53.92,0.71,45.37
311,T_A,1o,53.17,0.71,46.12
312,8_A,sdifferent,52.76,0.66,46.58
313,9_A,sdifferent,52.69,0.67,46.64
314,6_A,sdifferent,52.62,0.65,46.74
315,7_A,sdifferent,52.62,0.65,46.74
316,2_A,sdifferent,52.26,0.72,47.02
317,3_A,sdifferent,52.11,0.71,47.18
318,4_A,sdifferent,51.97,0.7,47.34
319,5_A,sdifferent,51.82,0.69,47.5
320,T_A,sdifferent,51.21,0.68,48.11
321,8_A,ssame,51.13,0.77,48.1
322,2_2,2o,50.99,0.89,48.11
323,9_A,ssame,50.98,0.79,48.23
324,7_A,ssame,50.96,0.76,48.28
325,6_A,ssame,50.96,0.76,48.28
326,2_2,1o,50.61,0.93,48.45
327,2_A,ssame,50.57,0.84,48.59
328,3_A,ssame,50.4,0.83,48.77
329,3_3,2o,50.4,0.75,48.84
330,4_A,ssame,50.23,0.82,48.95
331,5_A,ssame,50.06,0.81,49.13
332,3_3,1o,50.02,0.82,49.17
333,4_4,2o,49.87,0.63,49.5
334,4_4,1o,49.48,0.71,49.81
335,5_5,2o,49.39,0.53,50.08
336,T_A,ssame,49.32,0.79,49.89
337,6_6,2o,49.05,0.42,50.53
338,5_5,1o,49.0,0.62,50.38
339,7_7,2o,48.84,0.4,50.76
340,8_8,2o,48.69,0.39,50.92
341,6_6,1o,48.66,0.51,50.83
342,7_7,1o,48.46,0.49,51.06
343,8_8,1o,48.31,0.48,51.21
344,9_9,2o,47.42,0.37,52.21
345,9_9,1o,47.05,0.46,52.49
346,J_J,2o,46.27,0.38,53.34
347,T_T,2o,46.26,0.37,53.37
348,J_J,1o,45.96,0.46,53.57
349,T_T,1o,45.94,0.45,53.61
350,J_A,2o,43.94,11.33,44.73
351,J_A,1o,43.3,11.5,45.2
352,J_A,1o,42.56,11.5,45.94
353,J_A,sdifferent,41.48,10.56,47.95
354,J_A,ssame,38.62,11.67,49.71
355,Q_Q,2o,34.76,1.17,64.08
356,Q_A,2o,29.58,1.1,69.33
357,K_A,2o,29.55,1.12,69.33
358,Q_A,sdifferent,28.01,1.14,70.85
359,K_A,sdifferent,27.99,1.16,70.85
360,Q_A,1o,27.91,1.2,70.89
361,K_A,1o,27.89,1.22,70.89
362,A_A,2o,17.5,0.38,82.13
363,A_A,1o,16.21,0.46,83.33
364,K_K,2o,13.27,1.19,85.54
365,Q_K,sdifferent,7.16,85.69,7.16
366,Q_K,2o,7.16,90.67,2.17
